Column1;slugSeason;nameTeam;namePlayer;statusPlayer;isFinalSeason;isWaived;isOnRoster;isNonGuaranteed;isTeamOption;isPlayerOption;typeContractDetail;value;ID;FIRST_NAME;LAST_NAME;DISPLAY_LAST_COMMA_FIRST;DISPLAY_FI_LAST;PLAYER_SLUG;BIRTHDATE;SCHOOL;COUNTRY;LAST_AFFILIATION;HEIGHT;WEIGHT;SEASON_EXP;JERSEY;POSITION;ROSTERSTATUS;GAMES_PLAYED_CURRENT_SEASON_FLAG;TEAM_ID;TEAM_NAME;TEAM_ABBREVIATION;TEAM_CODE;TEAM_CITY;PLAYERCODE;FROM_YEAR;TO_YEAR;DLEAGUE_FLAG;NBA_FLAG;GAMES_PLAYED_FLAG;DRAFT_YEAR;DRAFT_ROUND;DRAFT_NUMBER;PTS;AST;REB;ALL_STAR_APPEARANCES;PIE
325;2022-23;Denver Nuggets;Nikola Jokic;current roster;1;0;1;0;0;0;Guaranteed;33616770;203999;Nikola;Jokic;Jokic, Nikola;N. Jokic;nikola-jokic;19/02/1995 00:00;Mega Basket;Serbia;Mega Basket/Serbia;83;284;5;15;Center;Active;Y;1610612743;Nuggets;DEN;nuggets;Denver;nikola_jokic;2015;2020;N;Y;Y;2014;2;41;27.1;8.6;11.3;;0.205
326;2020-21;Denver Nuggets;Paul Millsap;current roster;1;0;1;0;0;0;Guaranteed;10000000;200794;Paul;Millsap;Millsap, Paul;P. Millsap;paul-millsap;10/02/1985 00:00;Louisiana Tech;USA;Louisiana Tech/USA;79;257;14;4;Forward;Active;Y;1610612743;Nuggets;DEN;nuggets;Denver;paul_millsap;2006;2020;N;Y;Y;2006;2;47;9.5;1.6;5;;0.09
327;2020-21;Denver Nuggets;PJ Dozier;current roster;0;0;1;0;0;0;Guaranteed;1762796;1628408;PJ;Dozier;Dozier, PJ;P. Dozier;pj-dozier;25/10/1996 00:00;South Carolina;USA;South Carolina/USA;78;205;3;35;Guard-Forward;Active;Y;1610612743;Nuggets;DEN;nuggets;Denver;pj_dozier;2017;2020;Y;Y;Y;Undrafted;Undrafted;Undrafted;7.7;1.6;3.8;;0.087
328;2021-22;Denver Nuggets;PJ Dozier;current roster;1;0;1;1;0;0;Non-Guaranteed;1910860;1628408;PJ;Dozier;Dozier, PJ;P. Dozier;pj-dozier;25/10/1996 00:00;South Carolina;USA;South Carolina/USA;78;205;3;35;Guard-Forward;Active;Y;1610612743;Nuggets;DEN;nuggets;Denver;pj_dozier;2017;2020;Y;Y;Y;Undrafted;Undrafted;Undrafted;7.7;1.6;3.8;;0.087
329;2020-21;Denver Nuggets;Vlatko Cancar;current roster;0;0;1;0;0;0;Guaranteed;1517981;1628427;Vlatko;Cancar;Cancar, Vlatko;V. Cancar;vlatko-cancar;10/04/1997 00:00;San Pablo Burgos;Slovenia;San Pablo Burgos/Slovenia;80;236;1;31;Forward;Active;Y;1610612743;Nuggets;DEN;nuggets;Denver;vlatko_cancar;2019;2020;Y;Y;Y;2017;2;49;1.4;0.3;1.2;;0.056
330;2021-22;Denver Nuggets;Vlatko Cancar;current roster;0;0;1;1;0;0;Non-Guaranteed;1782621;1628427;Vlatko;Cancar;Cancar, Vlatko;V. Cancar;vlatko-cancar;10/04/1997 00:00;San Pablo Burgos;Slovenia;San Pablo Burgos/Slovenia;80;236;1;31;Forward;Active;Y;1610612743;Nuggets;DEN;nuggets;Denver;vlatko_cancar;2019;2020;Y;Y;Y;2017;2;49;1.4;0.3;1.2;;0.056
331;2022-23;Denver Nuggets;Vlatko Cancar;current roster;1;0;1;0;0;0;Qualifying Offer;2228276;1628427;Vlatko;Cancar;Cancar, Vlatko;V. Cancar;vlatko-cancar;10/04/1997 00:00;San Pablo Burgos;Slovenia;San Pablo Burgos/Slovenia;80;236;1;31;Forward;Active;Y;1610612743;Nuggets;DEN;nuggets;Denver;vlatko_cancar;2019;2020;Y;Y;Y;2017;2;49;1.4;0.3;1.2;;0.056
332;2020-21;Denver Nuggets;Will Barton;current roster;0;0;1;0;0;0;Guaranteed;13723214;203115;Will;Barton;Barton, Will;W. Barton;will-barton;6/01/1991 00:00;Memphis;USA;Memphis/USA;78;181;8;5;Guard;Active;Y;1610612743;Nuggets;DEN;nuggets;Denver;will_barton;2012;2020;Y;Y;Y;2012;2;40;13;3.2;4.1;;0.081
333;2021-22;Denver Nuggets;Will Barton;current roster;1;0;1;0;0;1;Player Option;14669642;203115;Will;Barton;Barton, Will;W. Barton;will-barton;6/01/1991 00:00;Memphis;USA;Memphis/USA;78;181;8;5;Guard;Active;Y;1610612743;Nuggets;DEN;nuggets;Denver;will_barton;2012;2020;Y;Y;Y;2012;2;40;13;3.2;4.1;;0.081
334;2020-21;Denver Nuggets;Zeke Nnaji;current roster;0;0;1;0;0;0;Guaranteed;2379840;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
335;2021-22;Denver Nuggets;Zeke Nnaji;current roster;0;0;1;0;0;0;Guaranteed;2498760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
336;2022-23;Denver Nuggets;Zeke Nnaji;current roster;0;0;1;0;1;0;Team Option;2617800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337;2023-24;Denver Nuggets;Zeke Nnaji;current roster;0;0;1;0;1;0;Team Option;4306281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
338;2024-25;Denver Nuggets;Zeke Nnaji;current roster;1;0;1;0;0;0;Qualifying Offer;6235495;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
339;2020-21;Detroit Pistons;Blake Griffin;W;0;0;0;0;0;0;Not With Team;32670565;201933;Blake;Griffin;Griffin, Blake;B. Griffin;blake-griffin;16/03/1989 00:00;Oklahoma;USA;Oklahoma/USA;81;250;10;2;Forward;Active;Y;1610612751;Nets;BKN;nets;Brooklyn;blake_griffin;2009;2020;N;Y;Y;2009;1;1;11.6;3.5;5;;0.085
340;2021-22;Detroit Pistons;Blake Griffin;W;0;0;0;0;0;0;Not With Team;29764126;201933;Blake;Griffin;Griffin, Blake;B. Griffin;blake-griffin;16/03/1989 00:00;Oklahoma;USA;Oklahoma/USA;81;250;10;2;Forward;Active;Y;1610612751;Nets;BKN;nets;Brooklyn;blake_griffin;2009;2020;N;Y;Y;2009;1;1;11.6;3.5;5;;0.085
341;2020-21;Detroit Pistons;Cory Joseph;current roster;0;0;1;0;0;0;Guaranteed;12600000;202709;Cory;Joseph;Joseph, Cory;C. Joseph;cory-joseph;20/08/1991 00:00;Texas;Canada;Texas/Canada;75;200;9;9;Guard;Active;Y;1610612758;Kings;SAC;kings;Sacramento;cory_joseph;2011;2020;Y;Y;Y;2011;1;29;6.7;2.4;2.2;;0.058
342;2021-22;Detroit Pistons;Cory Joseph;current roster;1;0;1;1;0;0;Non-Guaranteed;12600000;202709;Cory;Joseph;Joseph, Cory;C. Joseph;cory-joseph;20/08/1991 00:00;Texas;Canada;Texas/Canada;75;200;9;9;Guard;Active;Y;1610612758;Kings;SAC;kings;Sacramento;cory_joseph;2011;2020;Y;Y;Y;2011;1;29;6.7;2.4;2.2;;0.058
343;2020-21;Detroit Pistons;Deividas Sirvydis;current roster;0;0;1;0;0;0;Guaranteed;898310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
344;2021-22;Detroit Pistons;Deividas Sirvydis;current roster;0;0;1;0;0;0;Guaranteed;1517981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
345;2022-23;Detroit Pistons;Deividas Sirvydis;current roster;0;0;1;1;0;0;Non-Guaranteed;1782621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
346;2023-24;Detroit Pistons;Deividas Sirvydis;current roster;1;0;1;0;0;0;Qualifying Offer;2228276;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
347;2020-21;Detroit Pistons;Dennis Smith Jr;current roster;0;0;1;0;0;0;Guaranteed;5686677;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
348;2021-22;Detroit Pistons;Dennis Smith Jr;current roster;1;0;1;0;0;0;Qualifying Offer;7705447;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
349;2020-21;Detroit Pistons;Dewayne Dedmon;W;0;0;0;0;0;0;Not With Team;2866667;203473;Dewayne;Dedmon;Dedmon, Dewayne;D. Dedmon;dewayne-dedmon;12/08/1989 00:00;USC;USA;Southern California/USA;84;245;7;14;Center;Inactive;N;1610612737;Hawks;ATL;hawks;Atlanta;dewayne_dedmon;2013;2019;Y;Y;Y;Undrafted;Undrafted;Undrafted;6.4;0.7;6;0;
350;2021-22;Detroit Pistons;Dewayne Dedmon;W;0;0;0;0;0;0;Not With Team;2866667;203473;Dewayne;Dedmon;Dedmon, Dewayne;D. Dedmon;dewayne-dedmon;12/08/1989 00:00;USC;USA;Southern California/USA;84;245;7;14;Center;Inactive;N;1610612737;Hawks;ATL;hawks;Atlanta;dewayne_dedmon;2013;2019;Y;Y;Y;Undrafted;Undrafted;Undrafted;6.4;0.7;6;0;
351;2022-23;Detroit Pistons;Dewayne Dedmon;W;0;0;0;0;0;0;Not With Team;2866667;203473;Dewayne;Dedmon;Dedmon, Dewayne;D. Dedmon;dewayne-dedmon;12/08/1989 00:00;USC;USA;Southern California/USA;84;245;7;14;Center;Inactive;N;1610612737;Hawks;ATL;hawks;Atlanta;dewayne_dedmon;2013;2019;Y;Y;Y;Undrafted;Undrafted;Undrafted;6.4;0.7;6;0;
352;2023-24;Detroit Pistons;Dewayne Dedmon;W;0;0;0;0;0;0;Not With Team;2866666;203473;Dewayne;Dedmon;Dedmon, Dewayne;D. Dedmon;dewayne-dedmon;12/08/1989 00:00;USC;USA;Southern California/USA;84;245;7;14;Center;Inactive;N;1610612737;Hawks;ATL;hawks;Atlanta;dewayne_dedmon;2013;2019;Y;Y;Y;Undrafted;Undrafted;Undrafted;6.4;0.7;6;0;
353;2024-25;Detroit Pistons;Dewayne Dedmon;W;0;0;0;0;0;0;Not With Team;2866666;203473;Dewayne;Dedmon;Dedmon, Dewayne;D. Dedmon;dewayne-dedmon;12/08/1989 00:00;USC;USA;Southern California/USA;84;245;7;14;Center;Inactive;N;1610612737;Hawks;ATL;hawks;Atlanta;dewayne_dedmon;2013;2019;Y;Y;Y;Undrafted;Undrafted;Undrafted;6.4;0.7;6;0;
354;2020-21;Detroit Pistons;Dzanan Musa;W;0;0;0;0;0;0;Not With Team;2002800;1629058;Dzanan;Musa;Musa, Dzanan;D. Musa;dzanan-musa;8/05/1999 00:00; ;Bosnia and Herzegovina;Cedevita/Bosnia and Herzegovina;81;217;2;13;Guard-Forward;Inactive;Y;1610612751;Nets;BKN;nets;Brooklyn;dzanan_musa;2018;2019;Y;Y;Y;2018;1;29;4.3;0.9;1.9;0;
355;2021-22;Detroit Pistons;Frank Jackson;current roster;1;0;1;0;0;0;Qualifying Offer;1789256;1628402;Frank;Jackson;Jackson, Frank;F. Jackson;frank-jackson;4/05/1998 00:00;Duke;USA;Duke/USA;75;205;2;5;Guard;Active;Y;1610612765;Pistons;DET;pistons;Detroit;frank_jackson;2017;2020;Y;Y;Y;2017;2;31;5.2;0.8;1.4;;0.08
356;2020-21;Detroit Pistons;Hamidou Diallo;current roster;0;0;1;0;0;0;Guaranteed;1663861;1628977;Hamidou;Diallo;Diallo, Hamidou;H. Diallo;hamidou-diallo;31/07/1998 00:00;Kentucky;USA;Kentucky/USA;77;202;2;6;Guard;Active;Y;1610612765;Pistons;DET;pistons;Detroit;hamidou_diallo;2018;2020;Y;Y;Y;2018;2;45;11.9;2.4;5.2;;0.103
357;2021-22;Detroit Pistons;Hamidou Diallo;current roster;1;0;1;0;0;0;Qualifying Offer;2079826;1628977;Hamidou;Diallo;Diallo, Hamidou;H. Diallo;hamidou-diallo;31/07/1998 00:00;Kentucky;USA;Kentucky/USA;77;202;2;6;Guard;Active;Y;1610612765;Pistons;DET;pistons;Detroit;hamidou_diallo;2018;2020;Y;Y;Y;2018;2;45;11.9;2.4;5.2;;0.103
358;2020-21;Detroit Pistons;Isaiah Stewart II;current roster;0;0;1;0;0;0;Guaranteed;3121080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
359;2021-22;Detroit Pistons;Isaiah Stewart II;current roster;0;0;1;0;0;0;Guaranteed;3277080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
360;2022-23;Detroit Pistons;Isaiah Stewart II;current roster;0;0;1;0;1;0;Team Option;3433320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
361;2023-24;Detroit Pistons;Isaiah Stewart II;current roster;0;0;1;0;1;0;Team Option;5266713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
362;2024-25;Detroit Pistons;Isaiah Stewart II;current roster;1;0;1;0;0;0;Qualifying Offer;7399732;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
363;2020-21;Detroit Pistons;Jahlil Okafor;current roster;0;0;1;0;0;0;Guaranteed;1882867;1626143;Jahlil;Okafor;Okafor, Jahlil;J. Okafor;jahlil-okafor;15/12/1995 00:00;Duke;USA;Duke/USA;82;270;5;13;Center-Forward;Active;Y;1610612765;Pistons;DET;pistons;Detroit;jahlil_okafor;2015;2020;N;Y;Y;2015;1;3;4.3;0.3;2.3;;0.1
364;2021-22;Detroit Pistons;Jahlil Okafor;current roster;1;0;1;0;0;0;Guaranteed;2130023;1626143;Jahlil;Okafor;Okafor, Jahlil;J. Okafor;jahlil-okafor;15/12/1995 00:00;Duke;USA;Duke/USA;82;270;5;13;Center-Forward;Active;Y;1610612765;Pistons;DET;pistons;Detroit;jahlil_okafor;2015;2020;N;Y;Y;2015;1;3;4.3;0.3;2.3;;0.1
365;2020-21;Detroit Pistons;Jerami Grant;current roster;0;0;1;0;0;0;Guaranteed;19050000;203924;Jerami;Grant;Grant, Jerami;J. Grant;jerami-grant;12/03/1994 00:00;Syracuse;USA;Syracuse/USA;80;210;6;9;Forward;Active;Y;1610612765;Pistons;DET;pistons;Detroit;jerami_grant;2014;2020;N;Y;Y;2014;2;39;23.3;2.8;5;;0.117
366;2021-22;Detroit Pistons;Jerami Grant;current roster;0;0;1;0;0;0;Guaranteed;20002500;203924;Jerami;Grant;Grant, Jerami;J. Grant;jerami-grant;12/03/1994 00:00;Syracuse;USA;Syracuse/USA;80;210;6;9;Forward;Active;Y;1610612765;Pistons;DET;pistons;Detroit;jerami_grant;2014;2020;N;Y;Y;2014;2;39;23.3;2.8;5;;0.117
367;2022-23;Detroit Pistons;Jerami Grant;current roster;1;0;1;0;0;0;Guaranteed;20955000;203924;Jerami;Grant;Grant, Jerami;J. Grant;jerami-grant;12/03/1994 00:00;Syracuse;USA;Syracuse/USA;80;210;6;9;Forward;Active;Y;1610612765;Pistons;DET;pistons;Detroit;jerami_grant;2014;2020;N;Y;Y;2014;2;39;23.3;2.8;5;;0.117
368;2020-21;Detroit Pistons;Josh Jackson;current roster;0;0;1;0;0;0;Guaranteed;4767000;1628367;Josh;Jackson;Jackson, Josh;J. Jackson;josh-jackson;10/02/1997 00:00;Kansas;USA;Kansas/USA;80;207;3;20;Guard-Forward;Active;Y;1610612765;Pistons;DET;pistons;Detroit;josh_jackson;2017;2020;Y;Y;Y;2017;1;4;13.2;2.1;4.2;;0.085
369;2021-22;Detroit Pistons;Josh Jackson;current roster;1;0;1;0;0;0;Guaranteed;5005350;1628367;Josh;Jackson;Jackson, Josh;J. Jackson;josh-jackson;10/02/1997 00:00;Kansas;USA;Kansas/USA;80;207;3;20;Guard-Forward;Active;Y;1610612765;Pistons;DET;pistons;Detroit;josh_jackson;2017;2020;Y;Y;Y;2017;1;4;13.2;2.1;4.2;;0.085
370;2020-21;Detroit Pistons;Killian Hayes;current roster;0;0;1;0;0;0;Guaranteed;5307120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
371;2021-22;Detroit Pistons;Killian Hayes;current roster;0;0;1;0;0;0;Guaranteed;5572680;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372;2022-23;Detroit Pistons;Killian Hayes;current roster;0;0;1;0;1;0;Team Option;5837760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
373;2023-24;Detroit Pistons;Killian Hayes;current roster;0;0;1;0;1;0;Team Option;7413955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
374;2024-25;Detroit Pistons;Killian Hayes;current roster;1;0;1;0;0;0;Qualifying Offer;9942114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
375;2020-21;Detroit Pistons;Mason Plumlee;current roster;0;0;1;0;0;0;Guaranteed;8000000;203486;Mason;Plumlee;Plumlee, Mason;M. Plumlee;mason-plumlee;5/03/1990 00:00;Duke;USA;Duke/USA;83;254;7;24;Forward-Center;Active;Y;1610612765;Pistons;DET;pistons;Detroit;mason_plumlee;2013;2020;N;Y;Y;2013;1;22;10.3;3.6;9.5;;0.124
376;2021-22;Detroit Pistons;Mason Plumlee;current roster;0;0;1;0;0;0;Guaranteed;8137500;203486;Mason;Plumlee;Plumlee, Mason;M. Plumlee;mason-plumlee;5/03/1990 00:00;Duke;USA;Duke/USA;83;254;7;24;Forward-Center;Active;Y;1610612765;Pistons;DET;pistons;Detroit;mason_plumlee;2013;2020;N;Y;Y;2013;1;22;10.3;3.6;9.5;;0.124
377;2022-23;Detroit Pistons;Mason Plumlee;current roster;1;0;1;1;0;0;Non-Guaranteed;8525000;203486;Mason;Plumlee;Plumlee, Mason;M. Plumlee;mason-plumlee;5/03/1990 00:00;Duke;USA;Duke/USA;83;254;7;24;Forward-Center;Active;Y;1610612765;Pistons;DET;pistons;Detroit;mason_plumlee;2013;2020;N;Y;Y;2013;1;22;10.3;3.6;9.5;;0.124
378;2020-21;Detroit Pistons;Rodney McGruder;current roster;0;0;1;0;0;0;Guaranteed;5192307;203585;Rodney;McGruder;McGruder, Rodney;R. McGruder;rodney-mcgruder;29/07/1991 00:00;Kansas State;USA;Kansas State/USA;76;205;4;17;Guard;Active;Y;1610612765;Pistons;DET;pistons;Detroit;rodney_mcgruder;2016;2020;Y;Y;Y;Undrafted;Undrafted;Undrafted;5.6;1;1.4;;0.092
379;2021-22;Detroit Pistons;Rodney McGruder;current roster;1;0;1;1;0;0;Non-Guaranteed;5000000;203585;Rodney;McGruder;McGruder, Rodney;R. McGruder;rodney-mcgruder;29/07/1991 00:00;Kansas State;USA;Kansas State/USA;76;205;4;17;Guard;Active;Y;1610612765;Pistons;DET;pistons;Detroit;rodney_mcgruder;2016;2020;Y;Y;Y;Undrafted;Undrafted;Undrafted;5.6;1;1.4;;0.092
380;2020-21;Detroit Pistons;Saddiq Bey;current roster;0;0;1;0;0;0;Guaranteed;2689920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381;2021-22;Detroit Pistons;Saddiq Bey;current roster;0;0;1;0;0;0;Guaranteed;2824320;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
382;2022-23;Detroit Pistons;Saddiq Bey;current roster;0;0;1;0;1;0;Team Option;2959080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
383;2023-24;Detroit Pistons;Saddiq Bey;current roster;0;0;1;0;1;0;Team Option;4556983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
384;2024-25;Detroit Pistons;Saddiq Bey;current roster;1;0;1;0;0;0;Qualifying Offer;6498258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
385;2020-21;Detroit Pistons;Sekou Doumbouya;current roster;0;0;1;0;0;0;Guaranteed;3449400;1629635;Sekou;Doumbouya;Doumbouya, Sekou;S. Doumbouya;sekou-doumbouya;23/12/2000 00:00;Limoges;France;Limoges/France;80;230;1;45;Forward;Active;Y;1610612765;Pistons;DET;pistons;Detroit;sekou_doumbouya;2019;2020;Y;Y;Y;2019;1;15;3.9;0.6;2.2;;0.036
386;2021-22;Detroit Pistons;Sekou Doumbouya;current roster;0;0;1;0;0;0;Guaranteed;3613680;1629635;Sekou;Doumbouya;Doumbouya, Sekou;S. Doumbouya;sekou-doumbouya;23/12/2000 00:00;Limoges;France;Limoges/France;80;230;1;45;Forward;Active;Y;1610612765;Pistons;DET;pistons;Detroit;sekou_doumbouya;2019;2020;Y;Y;Y;2019;1;15;3.9;0.6;2.2;;0.036
387;2022-23;Detroit Pistons;Sekou Doumbouya;current roster;0;0;1;0;1;0;Team Option;5539771;1629635;Sekou;Doumbouya;Doumbouya, Sekou;S. Doumbouya;sekou-doumbouya;23/12/2000 00:00;Limoges;France;Limoges/France;80;230;1;45;Forward;Active;Y;1610612765;Pistons;DET;pistons;Detroit;sekou_doumbouya;2019;2020;Y;Y;Y;2019;1;15;3.9;0.6;2.2;;0.036
388;2023-24;Detroit Pistons;Sekou Doumbouya;current roster;1;0;1;0;0;0;Qualifying Offer;7744600;1629635;Sekou;Doumbouya;Doumbouya, Sekou;S. Doumbouya;sekou-doumbouya;23/12/2000 00:00;Limoges;France;Limoges/France;80;230;1;45;Forward;Active;Y;1610612765;Pistons;DET;pistons;Detroit;sekou_doumbouya;2019;2020;Y;Y;Y;2019;1;15;3.9;0.6;2.2;;0.036
389;2020-21;Detroit Pistons;Tyler Cook  E;current roster;1;0;1;0;0;0;Not With Team;99020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
390;2020-21;Detroit Pistons;Wayne Ellington;current roster;1;0;1;0;0;0;Guaranteed;1620564;201961;Wayne;Ellington;Ellington, Wayne;W. Ellington;wayne-ellington;29/11/1987 00:00;North Carolina;USA;North Carolina/USA;76;207;11;8;Guard;Active;Y;1610612765;Pistons;DET;pistons;Detroit;wayne_ellington;2009;2020;N;Y;Y;2009;1;28;10.6;1.4;1.8;;0.073
391;2020-21;Detroit Pistons;Zhaire Smith;W;0;0;0;0;0;0;Not With Team;1068200;1629015;Zhaire;Smith;Smith, Zhaire;Z. Smith;zhaire-smith;4/06/1999 00:00;Texas Tech;USA;Texas Tech/USA;75;205;2;5;Guard;Inactive;N;1610612755;76ers;PHI;sixers;Philadelphia;zhaire_smith;2018;2019;Y;Y;Y;2018;1;16;3.7;0.9;1.2;0;
392;2021-22;Detroit Pistons;Zhaire Smith;W;0;0;0;0;0;0;Not With Team;1068200;1629015;Zhaire;Smith;Smith, Zhaire;Z. Smith;zhaire-smith;4/06/1999 00:00;Texas Tech;USA;Texas Tech/USA;75;205;2;5;Guard;Inactive;N;1610612755;76ers;PHI;sixers;Philadelphia;zhaire_smith;2018;2019;Y;Y;Y;2018;1;16;3.7;0.9;1.2;0;
393;2022-23;Detroit Pistons;Zhaire Smith;W;0;0;0;0;0;0;Not With Team;1068200;1629015;Zhaire;Smith;Smith, Zhaire;Z. Smith;zhaire-smith;4/06/1999 00:00;Texas Tech;USA;Texas Tech/USA;75;205;2;5;Guard;Inactive;N;1610612755;76ers;PHI;sixers;Philadelphia;zhaire_smith;2018;2019;Y;Y;Y;2018;1;16;3.7;0.9;1.2;0;
394;2020-21;Golden State Warriors;Alen Smailagic;current roster;0;0;1;0;0;0;Guaranteed;1517981;1629346;Alen;Smailagic;Smailagic, Alen;A. Smailagic;alen-smailagic;18/08/2000 00:00;Beko;Serbia;Beko/Serbia;82;215;1;6;Forward;Active;Y;1610612744;Warriors;GSW;warriors;Golden State;alen_smailagic;2019;2020;Y;Y;Y;2019;2;39;1.7;0;0;;-0.197
395;2021-22;Golden State Warriors;Alen Smailagic;current roster;0;0;1;1;0;0;Non-Guaranteed;1782621;1629346;Alen;Smailagic;Smailagic, Alen;A. Smailagic;alen-smailagic;18/08/2000 00:00;Beko;Serbia;Beko/Serbia;82;215;1;6;Forward;Active;Y;1610612744;Warriors;GSW;warriors;Golden State;alen_smailagic;2019;2020;Y;Y;Y;2019;2;39;1.7;0;0;;-0.197
396;2022-23;Golden State Warriors;Alen Smailagic;current roster;1;0;1;1;0;0;Non-Guaranteed;1930681;1629346;Alen;Smailagic;Smailagic, Alen;A. Smailagic;alen-smailagic;18/08/2000 00:00;Beko;Serbia;Beko/Serbia;82;215;1;6;Forward;Active;Y;1610612744;Warriors;GSW;warriors;Golden State;alen_smailagic;2019;2020;Y;Y;Y;2019;2;39;1.7;0;0;;-0.197
397;2020-21;Golden State Warriors;Andrew Wiggins;current roster;0;0;1;0;0;0;Guaranteed;29542010;203952;Andrew;Wiggins;Wiggins, Andrew;A. Wiggins;andrew-wiggins;23/02/1995 00:00;Kansas;Canada;Kansas/Canada;79;197;6;22;Forward;Active;Y;1610612744;Warriors;GSW;warriors;Golden State;andrew_wiggins;2014;2020;N;Y;Y;2014;1;1;17.7;2.1;4.6;;0.095
398;2021-22;Golden State Warriors;Andrew Wiggins;current roster;0;0;1;0;0;0;Guaranteed;31579390;203952;Andrew;Wiggins;Wiggins, Andrew;A. Wiggins;andrew-wiggins;23/02/1995 00:00;Kansas;Canada;Kansas/Canada;79;197;6;22;Forward;Active;Y;1610612744;Warriors;GSW;warriors;Golden State;andrew_wiggins;2014;2020;N;Y;Y;2014;1;1;17.7;2.1;4.6;;0.095
399;2022-23;Golden State Warriors;Andrew Wiggins;current roster;1;0;1;0;0;0;Guaranteed;33616770;203952;Andrew;Wiggins;Wiggins, Andrew;A. Wiggins;andrew-wiggins;23/02/1995 00:00;Kansas;Canada;Kansas/Canada;79;197;6;22;Forward;Active;Y;1610612744;Warriors;GSW;warriors;Golden State;andrew_wiggins;2014;2020;N;Y;Y;2014;1;1;17.7;2.1;4.6;;0.095
400;2020-21;Golden State Warriors;Damion Lee;current roster;0;0;1;0;0;0;Guaranteed;1762796;1627814;Damion;Lee;Lee, Damion;D. Lee;damion-lee;21/10/1992 00:00;Louisville;USA;Louisville/USA;77;210;3;1;Guard-Forward;Active;Y;1610612744;Warriors;GSW;warriors;Golden State;damion_lee;2017;2020;Y;Y;Y;Undrafted;Undrafted;Undrafted;6.7;1.4;3.3;;0.095
401;2021-22;Golden State Warriors;Damion Lee;current roster;1;0;1;1;0;0;Non-Guaranteed;1910860;1627814;Damion;Lee;Lee, Damion;D. Lee;damion-lee;21/10/1992 00:00;Louisville;USA;Louisville/USA;77;210;3;1;Guard-Forward;Active;Y;1610612744;Warriors;GSW;warriors;Golden State;damion_lee;2017;2020;Y;Y;Y;Undrafted;Undrafted;Undrafted;6.7;1.4;3.3;;0.095
402;2020-21;Golden State Warriors;Draymond Green;current roster;0;0;1;0;0;0;Guaranteed;22246956;203110;Draymond;Green;Green, Draymond;D. Green;draymond-green;4/03/1990 00:00;Michigan State;USA;Michigan State/USA;78;230;8;23;Forward;Active;Y;1610612744;Warriors;GSW;warriors;Golden State;draymond_green;2012;2020;N;Y;Y;2012;2;35;6.1;8.4;6.6;;0.097
403;2021-22;Golden State Warriors;Draymond Green;current roster;0;0;1;0;0;0;Guaranteed;24026712;203110;Draymond;Green;Green, Draymond;D. Green;draymond-green;4/03/1990 00:00;Michigan State;USA;Michigan State/USA;78;230;8;23;Forward;Active;Y;1610612744;Warriors;GSW;warriors;Golden State;draymond_green;2012;2020;N;Y;Y;2012;2;35;6.1;8.4;6.6;;0.097
404;2022-23;Golden State Warriors;Draymond Green;current roster;0;0;1;0;0;0;Guaranteed;25806468;203110;Draymond;Green;Green, Draymond;D. Green;draymond-green;4/03/1990 00:00;Michigan State;USA;Michigan State/USA;78;230;8;23;Forward;Active;Y;1610612744;Warriors;GSW;warriors;Golden State;draymond_green;2012;2020;N;Y;Y;2012;2;35;6.1;8.4;6.6;;0.097
